latitude,longitude,presence,BIO1,BIO2,BIO3,BIO4,BIO5,BIO6,BIO7,BIO8,BIO9,BIO10,BIO11,BIO12,BIO13,BIO14,BIO15,BIO16,BIO17,BIO18,BIO19
42.28736058200001,8.845693689100003,true,62.0,39.0,213.0,5036.0,164.0,-19.0,183.0,52.0,128.0,139.0,-1.0,1104.0,161.0,18.0,46.0,454.0,78.0,88.0,331.0
42.16236058250001,8.854027022400002,true,108.0,41.0,220.0,5115.0,213.0,24.0,188.0,97.0,175.0,186.0,44.0,1155.0,169.0,20.0,46.0,470.0,82.0,92.0,354.0
42.22069391560001,8.854027022400002,true,80.0,40.0,218.0,5073.0,183.0,-3.0,186.0,69.0,146.0,157.0,17.0,1200.0,176.0,20.0,47.0,496.0,82.0,94.0,364.0
42.26236058210001,8.854027022400002,true,84.0,40.0,214.0,5072.0,186.0,1.0,185.0,73.0,150.0,161.0,20.0,1105.0,158.0,19.0,45.0,449.0,81.0,91.0,323.0
42.27069391540001,8.854027022400002,true,90.0,40.0,213.0,5080.0,192.0,7.0,185.0,79.0,156.0,167.0,26.0,1039.0,147.0,19.0,44.0,420.0,80.0,87.0,297.0
42.27902724870001,8.854027022400002,true,88.0,39.0,213.0,5077.0,190.0,5.0,185.0,77.0,154.0,165.0,24.0,1014.0,146.0,18.0,45.0,417.0,77.0,82.0,287.0
42.28736058200001,8.854027022400002,true,70.0,39.0,213.0,5050.0,171.0,-13.0,184.0,59.0,135.0,146.0,6.0,1073.0,156.0,18.0,46.0,443.0,77.0,84.0,315.0
42.33736058180001,8.854027022400002,true,75.0,38.0,208.0,5053.0,176.0,-7.0,183.0,64.0,140.0,151.0,11.0,1096.0,157.0,18.0,45.0,435.0,79.0,90.0,346.0
42.44569391470001,8.854027022400002,true,133.0,35.0,195.0,5122.0,234.0,52.0,182.0,122.0,200.0,211.0,69.0,817.0,115.0,14.0,43.0,316.0,61.0,78.0,253.0
42.50402724780001,8.854027022400002,true,146.0,34.0,188.0,5131.0,245.0,64.0,181.0,134.0,212.0,223.0,81.0,847.0,124.0,13.0,45.0,337.0,60.0,75.0,268.0
42.12902724930001,8.862360355700003,true,125.0,42.0,221.0,5151.0,230.0,40.0,190.0,113.0,192.0,203.0,60.0,1043.0,151.0,19.0,45.0,429.0,78.0,87.0,305.0
42.14569391590001,8.862360355700003,true,110.0,42.0,221.0,5127.0,215.0,26.0,189.0,99.0,177.0,188.0,46.0,1161.0,170.0,21.0,46.0,479.0,84.0,95.0,351.0
42.15402724920001,8.862360355700003,true,88.0,42.0,222.0,5096.0,192.0,4.0,188.0,77.0,154.0,165.0,24.0,1230.0,181.0,21.0,47.0,506.0,85.0,97.0,380.0
42.16236058250001,8.862360355700003,true,100.0,42.0,221.0,5109.0,204.0,16.0,188.0,57.0,167.0,177.0,36.0,1193.0,176.0,20.0,47.0,490.0,82.0,94.0,370.0
42.27069391540001,8.862360355700003,true,88.0,40.0,214.0,5082.0,190.0,5.0,185.0,77.0,154.0,164.0,24.0,1041.0,148.0,19.0,44.0,422.0,80.0,87.0,299.0
42.27902724870001,8.862360355700003,true,91.0,39.0,213.0,5085.0,194.0,9.0,185.0,80.0,158.0,168.0,28.0,998.0,143.0,17.0,45.0,410.0,75.0,79.0,280.0
42.28736058200001,8.862360355700003,true,70.0,39.0,213.0,5054.0,172.0,-12.0,184.0,59.0,136.0,146.0,7.0,1037.0,151.0,17.0,46.0,431.0,75.0,79.0,296.0
42.47902724790001,8.862360355700003,true,117.0,35.0,192.0,5096.0,216.0,36.0,181.0,106.0,183.0,194.0,53.0,995.0,143.0,17.0,42.0,392.0,78.0,91.0,303.0
42.53736058100001,8.862360355700003,true,156.0,33.0,184.0,5147.0,256.0,75.0,180.0,145.0,223.0,235.0,92.0,747.0,105.0,13.0,40.0,294.0,61.0,73.0,211.0
42.13736058260001,8.870693689000003,true,105.0,42.0,222.0,5120.0,210.0,21.0,189.0,94.0,172.0,182.0,41.0,1126.0,164.0,21.0,45.0,466.0,84.0,93.0,333.0
42.14569391590001,8.870693689000003,true,101.0,42.0,222.0,5113.0,206.0,18.0,188.0,90.0,168.0,179.0,37.0,1212.0,178.0,21.0,47.0,502.0,85.0,95.0,370.0
42.15402724920001,8.870693689000003,true,85.0,42.0,223.0,5091.0,189.0,2.0,188.0,75.0,152.0,162.0,22.0,1254.0,185.0,21.0,47.0,517.0,85.0,97.0,391.0
42.16236058250001,8.870693689000003,true,101.0,42.0,221.0,5111.0,206.0,18.0,188.0,58.0,168.0,179.0,37.0,1171.0,173.0,20.0,47.0,485.0,80.0,92.0,367.0
42.24569391550001,8.870693689000003,true,106.0,40.0,215.0,5114.0,209.0,22.0,187.0,95.0,172.0,183.0,42.0,959.0,135.0,18.0,43.0,390.0,76.0,82.0,268.0
42.27069391540001,8.870693689000003,true,80.0,40.0,215.0,5074.0,183.0,-2.0,185.0,70.0,146.0,157.0,17.0,1067.0,151.0,19.0,44.0,431.0,80.0,89.0,306.0
42.27902724870001,8.870693689000003,true,88.0,40.0,214.0,5084.0,191.0,5.0,185.0,77.0,154.0,165.0,24.0,1023.0,146.0,18.0,45.0,418.0,77.0,82.0,289.0
42.28736058200001,8.870693689000003,true,80.0,39.0,213.0,5068.0,182.0,-3.0,185.0,69.0,146.0,157.0,16.0,1012.0,148.0,16.0,47.0,424.0,71.0,74.0,285.0
42.295693915300006,8.870693689000003,true,63.0,39.0,213.0,5046.0,165.0,-19.0,184.0,53.0,129.0,140.0,0.0,1022.0,151.0,16.0,48.0,430.0,69.0,76.0,296.0
42.34569391510001,8.870693689000003,true,47.0,38.0,210.0,5015.0,148.0,-34.0,182.0,37.0,112.0,123.0,-15.0,1114.0,164.0,18.0,46.0,454.0,77.0,90.0,348.0
42.44569391470001,8.870693689000003,true,116.0,36.0,196.0,5102.0,216.0,34.0,182.0,104.0,182.0,193.0,52.0,865.0,119.0,16.0,40.0,331.0,70.0,86.0,255.0
42.46236058130001,8.870693689000003,true,93.0,35.0,195.0,5065.0,192.0,12.0,180.0,82.0,158.0,170.0,29.0,999.0,139.0,17.0,41.0,389.0,79.0,91.0,295.0
42.47069391460001,8.870693689000003,true,83.0,35.0,195.0,5049.0,182.0,2.0,179.0,72.0,148.0,159.0,20.0,1056.0,151.0,17.0,43.0,419.0,79.0,91.0,319.0
42.05402724960001,8.879027022300003,true,98.0,43.0,226.0,5115.0,203.0,14.0,190.0,87.0,165.0,175.0,34.0,1188.0,176.0,19.0,49.0,495.0,77.0,87.0,370.0
42.13736058260001,8.879027022300003,true,104.0,42.0,223.0,5124.0,210.0,20.0,189.0,93.0,171.0,182.0,40.0,1157.0,168.0,21.0,46.0,478.0,84.0,93.0,344.0
42.14569391590001,8.879027022300003,true,90.0,42.0,223.0,5101.0,195.0,7.0,188.0,79.0,157.0,168.0,27.0,1245.0,183.0,21.0,47.0,515.0,85.0,97.0,382.0
42.15402724920001,8.879027022300003,true,88.0,42.0,223.0,5096.0,192.0,4.0,188.0,45.0,154.0,165.0,24.0,1237.0,183.0,20.0,48.0,511.0,81.0,94.0,388.0
42.16236058250001,8.879027022300003,true,109.0,42.0,221.0,5128.0,214.0,25.0,189.0,66.0,176.0,187.0,45.0,1100.0,163.0,18.0,48.0,459.0,72.0,86.0,349.0
42.27902724870001,8.879027022300003,true,78.0,40.0,215.0,5067.0,180.0,-5.0,185.0,67.0,144.0,155.0,14.0,1080.0,156.0,18.0,46.0,444.0,77.0,84.0,311.0
42.28736058200001,8.879027022300003,true,74.0,39.0,214.0,5064.0,176.0,-8.0,185.0,63.0,140.0,151.0,11.0,1019.0,150.0,16.0,48.0,429.0,70.0,74.0,289.0
42.295693915300006,8.879027022300003,true,74.0,39.0,213.0,5064.0,177.0,-8.0,184.0,64.0,140.0,151.0,11.0,950.0,141.0,14.0,48.0,403.0,62.0,68.0,273.0
42.30402724860001,8.879027022300003,true,79.0,39.0,212.0,5071.0,182.0,-3.0,184.0,69.0,145.0,156.0,16.0,914.0,134.0,14.0,48.0,383.0,60.0,68.0,266.0
42.32902724850001,8.879027022300003,true,41.0,39.0,212.0,5011.0,142.0,-40.0,182.0,31.0,106.0,117.0,-22.0,1100.0,161.0,17.0,47.0,455.0,75.0,85.0,332.0
